DATE,UNRATE,CPI
1948,3.75,7.67221
1949,6.05,-0.9808
1950,5.208333333,1.06402
1951,3.283333333,7.94113
1952,3.025,2.28439
1953,2.925,0.7591
1954,5.591666667,0.36112
1955,4.366666667,-0.25746
1956,4.125,1.47411
1957,4.3,3.39269
1958,6.841666667,2.73002
1959,5.45,0.93199
1960,5.541666667,1.49228
1961,6.691666667,1.07036
1962,5.566666667,1.17608
1963,5.641666667,1.25606
1964,5.158333333,1.32209
1965,4.508333333,1.57869
1966,3.791666667,2.98937
1967,3.841666667,2.78455
1968,3.558333333,4.24469
1969,3.491666667,5.43713
1970,4.983333333,5.88369
1971,5.95,4.22656
1972,5.6,3.27295
1973,4.858333333,6.25872
1974,5.641666667,11.01107
1975,8.475,9.1416
1976,7.7,5.77489
1977,7.05,6.46956
1978,6.066666667,7.62991
1979,5.85,11.25303
1980,7.175,13.50172
1981,7.616666667,10.37831
1982,9.708333333,6.15836
1983,9.6,3.15953
1984,7.508333333,4.3682
1985,7.191666667,3.5279
1986,7,1.94393
1987,6.175,3.57821
1988,5.491666667,4.10004
1989,5.258333333,4.79109
1990,5.616666667,5.41922
1991,6.85,4.21583
1992,7.491666667,3.04162
1993,6.908333333,2.96965
1994,6.1,2.5956
1995,5.591666667,2.80542
1996,5.408333333,2.93667
1997,4.941666667,2.33757
1998,4.5,1.54701
1999,4.216666667,2.19314
2000,3.966666667,3.36668
2001,4.741666667,2.81663
2002,5.783333333,1.59567
2003,5.991666667,2.298
2004,5.541666667,2.66757
2005,5.083333333,3.36583
2006,4.608333333,3.22209
2007,4.616666667,2.87055
2008,5.8,3.81495
2009,9.283333333,-0.32036
2010,9.608333333,1.63657
2011,8.933333333,3.13965
2012,8.075,2.07319
2013,7.358333333,1.46597
2014,6.158333333,1.61546
2015,5.275,0.12114
2016,4.875,1.26736
2017,4.35,2.13749
2018,3.891666667,2.4341
2019,3.683333333,1.81211
2020,8.108333333,1.24837
2021,5.4,4.68